PL ID,Status,Category,Discipline,Description,Subsystem,Milestone
PL-011077,Originated,B,P,18:Pickling and passivation to be done,PS5-60-24 - Cooling Water Tank & Pump,PS5 - Milestone E
PL-011079,Originated,B,P,18:Paint touchup to be don,PS5-60-25 - Cooling Water Maintenance Tank & Return Pump,PS5 - Milestone E
PL-011080,Originated,B,P,18:Pickling and passivation to be done,PS5-60-25 - Cooling Water Maintenance Tank & Return Pump,PS5 - Milestone E
PL-011103,Originated,B,T,Cable no Dressing at Both Ends,PS5-08-01 - PAGA,PS5 - Milestone F
PL-011108,Originated,B,T,Cable no Dressing at Both Ends,PS5-08-01 - PAGA,PS5 - Milestone F
PL-011109,Originated,B,T,Cable no Dressing at Both Ends,PS5-08-01 - PAGA,PS5 - Milestone F
PL-011110,Originated,B,T,Cable no Dressing at Both Ends,PS5-08-01 - PAGA,PS5 - Milestone F
PL-011111,Originated,B,T,Cable no Dressing at Both Ends,PS5-08-01 - PAGA,PS5 - Milestone F
PL-011146,Originated,B,P,18:GL01 PTFE Isolation Pad to be Fixed.,PS5-60-26 - Instrument Air Compressor Skid,PS5 - Milestone B
PL-011147,Originated,B,P,"18.1:1"" ValveCTR commodity code to be add. RLMU to be done",PS5-60-26 - Instrument Air Compressor Skid,PS5 - Milestone B
PL-011148,Originated,B,P,18.2:Paint touchup to be done,PS5-60-26 - Instrument Air Compressor Skid,PS5 - Milestone B
PL-011149,Originated,B,P,18:F1 flange connection to PS5-60-UA-5200/TP-311 is pending.,PS5-60-26 - Instrument Air Compressor Skid,PS5 - Milestone B
PL-011150,Originated,B,P,18.1:GL01 PTFE Isolation Pad to be Fixed.,PS5-60-26 - Instrument Air Compressor Skid,PS5 - Milestone B
PL-011151,Originated,B,P,18.2:Paint touchup to be done,PS5-60-26 - Instrument Air Compressor Skid,PS5 - Milestone B
PL-011152,Originated,B,P,18:GL01 PTFE Isolation Pad to be Fixed.,PS5-60-27 - Compressed Air Starting Skid,PS5 - Milestone B
PL-011153,Originated,B,P,18.1:Sleeve Penetration to be install,PS5-60-27 - Compressed Air Starting Skid,PS5 - Milestone B
PL-011154,Originated,B,P,18.2:Paint touchup to be done,PS5-60-27 - Compressed Air Starting Skid,PS5 - Milestone B
PL-011158,Originated,B,P,18:GL01 PTFE Isolation Pad to be Fixed.,PS5-71-18 - Diesel Separator Module,PS5 - Milestone F
PL-011159,Originated,B,P,18.1:Paint touchup to be done,PS5-71-18 - Diesel Separator Module,PS5 - Milestone F
PL-011207,Originated,B,P,18.2:cladding penetration to be install,PS5-71-18 - Diesel Separator Module,PS5 - Milestone F
PL-011209,Originated,A,E,Cable is damaged,PS5-71-07 - Crude Fuel Separation Module (UCP),PS5 - Milestone H
PL-011313,Originated,B,P,18:Electrical heat tracing to be done,PS5-25-02 - Crude Oil Export Pump A,PS5 - Milestone H
PL-011314,Originated,B,P,18.1:Insulatoin to be done,PS5-25-02 - Crude Oil Export Pump A,PS5 - Milestone H
PL-011315,Originated,B,P,18.2:Paint touchup to be done,PS5-25-02 - Crude Oil Export Pump A,PS5 - Milestone H
PL-011317,Originated,B,P,18:Electrical heat tracing to be done,PS5-25-03 - Crude Oil Export Pump B,PS5 - Milestone H
PL-011318,Originated,B,P,18.1:Insulatoin to be done,PS5-25-03 - Crude Oil Export Pump B,PS5 - Milestone H
PL-011319,Originated,B,P,18.2:Paint touchup to be done,PS5-25-03 - Crude Oil Export Pump B,PS5 - Milestone H
PL-011320,Originated,B,P,18:Electrical heat tracing to be done,PS5-25-04 - Crude Oil Export Pump C,PS5 - Milestone H
PL-011321,Originated,B,P,18.1:Insulatoin to be done,PS5-25-04 - Crude Oil Export Pump C,PS5 - Milestone H
PL-011323,Originated,B,P,18.2:Paint touchup to be done,PS5-25-04 - Crude Oil Export Pump C,PS5 - Milestone H
PL-011328,Originated,B,P,18:GL01 PTFE Isolation Pad to be Fixed.,PS5-60-24 - Cooling Water Tank & Pump,PS5 - Milestone E
PL-011330,Originated,B,P,18.1:Pickling & Passivation to be done in rusted area,PS5-60-24 - Cooling Water Tank & Pump,PS5 - Milestone E
PL-011331,Originated,B,P,18:GL01 PTFE Isolation Pad to be Fixed,PS5-60-24 - Cooling Water Tank & Pump,PS5 - Milestone E
PL-011332,Originated,B,P,18.1:Pickling & Passivation to be done in rusted area,PS5-60-24 - Cooling Water Tank & Pump,PS5 - Milestone E
PL-011333,Originated,B,P,18:Valve Commodity code RLMU to be done,PS5-71-02 - CFO Allocation Metering Package,PS5 - Milestone H
PL-011334,Originated,B,P,18.1:Paint touchup to be done,PS5-71-02 - CFO Allocation Metering Package,PS5 - Milestone H
PL-011335,Originated,B,P,18:GL01 PTFE Isolation Pad to be Fixed.,PS5-28-04 - Closed Drain Drum and Pump 02,PS5 - Milestone E
PL-011336,Originated,B,P,18.1:Pickling & Passivation to be done in rusted area,PS5-28-04 - Closed Drain Drum and Pump 02,PS5 - Milestone E
PL-011337,Originated,B,P,18:GL01 PTFE Isolation Pad to be Fixed.,PS5-28-07 - Open Drains (OD2),PS5 - Milestone G
PL-011338,Originated,B,P,18.1:Pickling & Passivation to be done in rusted area,PS5-28-07 - Open Drains (OD2),PS5 - Milestone G
PL-011339,Originated,B,P,18.2:Pickling & Passivation to be done in rusted area,PS5-28-07 - Open Drains (OD2),PS5 - Milestone G
PL-011340,Originated,B,P,18:GL01 PTFE Isolation Pad to be Fixed.,PS5-60-25 - Cooling Water Maintenance Tank & Return Pump,PS5 - Milestone E
PL-011341,Originated,B,P,18.1:Pickling & Passivation to be done in rusted area,PS5-60-25 - Cooling Water Maintenance Tank & Return Pump,PS5 - Milestone E
PL-011342,Originated,B,P,18:GL01 PTFE Isolation Pad to be Fixed.,PS5-28-07 - Open Drains (OD2),PS5 - Milestone G
PL-011343,Originated,B,P,18.1:Pickling & Passivation to be done in rusted area,PS5-28-07 - Open Drains (OD2),PS5 - Milestone G
PL-011344,Originated,B,P,18:GL01 PTFE Isolation Pad to be Fixed.,PS5-74-03 - Nitrogen Receiver,PS5 - Milestone F
PL-011345,Originated,B,P,18.1:CTR commodity code to be add. RLMU to be done,PS5-74-03 - Nitrogen Receiver,PS5 - Milestone F
PL-011346,Originated,B,P,18.2:Paint Touch up to be done,PS5-74-03 - Nitrogen Receiver,PS5 - Milestone F
PL-011347,Originated,B,P,18:Paint touch up to be done,PS5-28-07 - Open Drains (OD2),PS5 - Milestone G
PL-011348,Originated,B,P,18:CTR commodity code to be add. RLMU to be done,PS5-60-01 - Power Generation Package A,PS5 - Milestone B
PL-011349,Originated,B,P,18.1:Hose Connection FM to be Done,PS5-60-01 - Power Generation Package A,PS5 - Milestone B
PL-011350,Originated,B,P,18.2:GL01 PTFE Isolation Pad to be Fixed,PS5-60-01 - Power Generation Package A,PS5 - Milestone B
PL-011351,Originated,B,P,18.3:Paint touch up to be done,PS5-60-01 - Power Generation Package A,PS5 - Milestone B
PL-011352,Originated,B,P,18:CTR commodity code to be add. RLMU to be done,PS5-60-24 - Cooling Water Tank & Pump,PS5 - Milestone E
